Nº Factura o Tasa;Monto;Recurrente;Nº suministro
Factura Nº00001-00001234;$ 384.500,00;TECNO RED S.A.;Nº150
Factura Nº00002-00001539;$ 128.200,00;GRUPO GAMMA SRL;Nº220
Tasa Nº030774;$ 539.900,00;NEXUS DIGITAL SOLUTIONS;Nº135
Factura Nº00003-00001122;$ 2.670.400,00;ELECTRO SERIVIOS INTEGRADOS;Nº198
Factura Nº00004-00001988;$ 1.145.320,00;SOLUCIONES DIGITALES SRL;Nº301
Factura Nº00005-00002001;$ 53.800,00;ECOAMBIENTE SRL;Nº187
Factura Nº00006-00001879;$ 292.600,00;LOGÍSTICA FORZA S.A.;Nº275
Factura Nº00007-00001745;$ 1.110.000,00;MAXILUZ ILUMINACIÓN Iluminación;Nº332
Tasa Nº030662;$ 342.500,00;BANCO IGUANA;Nº120
Factura Nº00008-00002123;$ 770.950,00;SMARTBYTE TECNOLOGÍA EMPRESARIAL;Nº199
Factura Nº00009-00001333;$ 1.980.100,00;TELECOMUNICACIONES EL RIO;Nº350
Factura Nº00010-00001799;$ 10.104.500,00;ALPHACLOUD SERVICIOS IT;Nº268
Factura Nº00012-00001888;$ 5.150.000,00;MEGABYTE SOFTWARE SRL;Nº401
Factura Nº00013-00001999;$ 890.200,00;IBYTEZONE TECNOLOGÍA AVANZADA;Nº380
Tasa Nº030662;$ 420.500,00;GLOBALTEK SYSTEMS;Nº120
